pval	qval	lfdr	statistic	param.cutoff	param.N.cens	param.eta0	param.eta0.SE	WT2U_old_ZT00	WT2U_old_ZT04	WT2U_old_ZT08	WT2U_old_ZT12	WT2U_old_ZT16	WT2U_old_ZT20	WT2U_old_ZT24	WT2U_old_ZT28	WT2U_old_ZT32	WT2U_old_ZT36	WT2U_old_ZT40	WT2U_old_ZT44
FBgn0024733	0.016509095085277	0.0419199495388222	0.0937679998547992	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	24302.4850944215	18416.4706323653	12872.7999841879	19498.5477566505	14570.4814059575	11424.3144034018	28282.3000422787	20349.2367394028	14456.7297260946	21006.6547961018	14297.4002839489	10753.5032869264
FBgn0000316	0.0138181386498919	0.0379913897557546	0.0781266073311167	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	1018.94569889644	940.795152858915	1049.96620761582	783.904294061032	730.107730001437	742.469673180363	960.814325082323	909.68744615632	853.5108694139	758.148536304862	802.556772695678	714.379150582898
FBgn0024989	0.0327499327612187	0.0612300589951458	0.145870199658885	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	143.48616882652	141.930303233026	136.602746398998	58.1022623787642	72.279853136961	173.647863891076	137.847023084616	153.651622383409	121.485123748694	43.2940067212604	80.8130083617176	123.761546780483
FBgn0029521	0.0457442469511665	0.0742926833723284	0.165256070313035	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	35.87154220663	33.4550000477847	45.5342487996659	36.1948519736564	31.6731940712526	22.1526081507134	36.0048194623997	41.031967341024	36.3417036855067	42.2871693556497	29.7243249146547	17.876667868292
FBgn0029524	0.0195875578209842	0.0461305701309234	0.10040290993306	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	36.8410433473498	37.5101515687283	18.7493965645683	30.479875346237	44.6673249722792	22.8672084136397	41.1483650998854	34.0478026872327	16.6133502562316	27.1846088714891	39.9420616040673	27.5025659512184
FBgn0023535	0.00116334633873519	0.00996556787746897	0.0221609252091788	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	249.161793164971	173.357727520339	229.010486610084	75.2471922610225	25.9882618020534	18.5796068360822	246.890190599312	261.033153935451	149.520152306085	49.3350309149246	31.5820952218207	21.3144886121943
FBgn0023537	0.0338119991711867	0.06236675349991	0.145870199658885	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	5304.14074087764	5520.07500788447	6172.56919757824	3350.88129587693	3955.088593	3650.89274329016	6809.02571490353	6722.25847927415	4583.2080019379	4491.50148798936	4004.42389709614	4082.75591545837
FBgn0052816	0.00589738145835614	0.0240436320176502	0.0540932881006763	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	158.998187078036	176.399091161046	227.671243998329	106.679563711829	153.493171268378	210.092477300315	152.248950869576	164.127869364096	264.775269708692	114.779459679621	126.328380887283	211.769757824382
FBgn0025635	0.0293484361720441	0.0576292051262744	0.12266578323536	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	313.148868452473	325.425909555724	330.792925103455	340.041109331456	394.696726118686	393.030144609432	352.847230731517	331.747821055088	345.765352207821	377.564012104015	378.056257508265	382.285666721936
FBgn0025634	0.00580788685417944	0.0238395648424115	0.0540932881006763	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	388.769957428612	423.763333938606	522.304618584403	435.290719788447	458.043114261191	596.69121954341	399.139141468888	465.319970058847	478.672154257674	432.940067212604	464.44257679148	610.556964117049
FBgn0025620	5.5188748427498e-06	0.00070181792913435	0.00147891112239664	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	1230.29694757334	1392.94454744413	1367.36670660173	574.355151055653	524.638035128953	485.213578526917	1267.36964507647	1496.35727707479	1205.50622796781	529.596454311232	496.953557166884	331.405919712182
FBgn0025639	0.00259971730837145	0.0151442024848456	0.0303471419560806	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	3017.0875499198	3475.26485344866	3642.73990397327	2826.05594225891	3615.61692321068	4399.07921857393	2817.63430021465	3126.28670315334	3929.05733559878	2631.87287370639	3419.22625033888	4270.46092807544
FBgn0026879	0.0279053855370486	0.0560913215385856	0.12266578323536	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	971.44014300117	895.174698248299	778.099957429585	918.206244805389	838.933576297536	606.695623224378	1050.31201917457	961.195660478031	718.527398582018	899.105767490361	733.819271330539	650.435684746315
FBgn0052815	0.0227123979693477	0.0498992934578807	0.12266578323536	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	1362.14910271122	1630.17091141933	1491.91626949494	1457.31903999196	1541.42877813429	2000.16613593055	1351.72379353123	1559.21475895891	1801.51016841012	1493.13981320068	1625.54901877018	2022.81372571211
FBgn0040340	0.00899474811974123	0.030069162864762	0.0654028834678567	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	1755.76656584343	2229.31954863874	1885.65359735087	1184.90515408496	1452.09412818973	1316.29368431013	1653.13556788789	1822.86697463954	1875.23191017215	1209.21167609846	1362.6745203062	1284.3698299219
FBgn0040337	0.0252308562913531	0.0530398994831927	0.12266578323536	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	290.850342215919	309.205303471949	408.468996585238	296.226288521241	322.416872981725	367.304535144087	314.784993014123	360.557500251977	345.765352207821	311.112745973708	332.5408849827	412.538489268276
FBgn0040398	0.0331939585658399	0.0617090282856728	0.145870199658885	pvalue	0.733328578055296	1153	0.451417091146333	0.0124684044848975	5810.22033633334	6774.13061573628	7310.92541756988	4367.19463945302	5740.15732552854	4698.49672874003	7367.61477113447	8657.74510895607	8208.03336096944	4545.87070573234	5194.32577883592	5090.03739342175
