baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	logFC	logCPM	PValue	FDR
FBgn0024989	82.7033194908353	-2.07214149546632	0.2280235845259	-9.08739988354565	1.01435741224831e-19	1.07950169939048e-17	-2.06576349171307	1.89220195212013	9.82767621138943e-19	1.04588314169653e-16
FBgn0023534	612.953240411324	0.252175000329186	0.0840913612915207	2.99882171552637	0.00271025849788015	0.0155628632450216	0.253134810120679	4.74660729376867	0.00288011418155436	0.0174262372905418
FBgn0025638	1788.19561313937	0.116683770551405	0.0403156417910668	2.89425556353813	0.00380058691715477	0.0203476922820058	0.117697561792388	6.28847603203539	0.00780684656769347	0.0379178379438986
FBgn0027343	214.773083820046	-0.27085665752675	0.0754865423940842	-3.58814497175826	0.000333039102249629	0.00275425883466418	-0.269357949363451	3.24166782086628	0.00057752538404664	0.00471917195079727
FBgn0002579	20228.0229831054	0.225722740978022	0.0690966405197324	3.26676867761119	0.00108782528140464	0.00727597105118269	0.226647522445322	9.78665525389467	0.00164516036532806	0.0109730821581561
FBgn0025633	1626.51738196712	-0.249059056095642	0.0706597529361234	-3.5247654534087	0.000423857901360358	0.00336347222802776	-0.247955317888289	6.1517406829143	0.000559032289126912	0.00460396497442611
FBgn0040339	279.994873496063	0.195973832164806	0.072680328543634	2.69638065886221	0.00700975105792257	0.0332044488787252	0.196981561480945	3.62025566480273	0.00770084574193551	0.0374790144899687
FBgn0040340	1872.54920747342	0.35749856041885	0.0994564326569524	3.59452426422675	0.000324984858518722	0.00271141548335568	0.358915401709224	6.35458246765442	0.000329200505452553	0.0029550913226097
FBgn0040347	80.5200357085677	0.341881789152117	0.0961737029255206	3.55483649638487	0.000378214205012036	0.00306216031750235	0.34292276912327	1.8455902048288	0.00049164930405201	0.00410908990768774
FBgn0040398	7006.69819086383	0.418934473203861	0.108188086752228	3.872279155498	0.00010782235844213	0.00105404078685714	0.419971700125551	8.25753457684888	0.000128519478208004	0.0013293299808599
FBgn0040364	813.197477717916	-0.425410775950546	0.0567249484869817	-7.49953569456616	6.40442811498478e-14	4.14470354630569e-12	-0.423877152549208	5.1538412134044	7.80540570506249e-13	4.823237151167e-11
FBgn0027794	795.426840961782	-0.277730956142512	0.0841674980502923	-3.29974114208029	0.000967740466992497	0.00657377176798166	-0.276502459632864	5.12298127060201	0.00119304261469679	0.00838163358339266
FBgn0025641	3053.67430953523	-0.292341697934313	0.0669021293601585	-4.36969197737387	1.24421914837174e-05	0.000164601256948957	-0.291157079128015	7.06017964699925	2.49092499947602e-05	0.000319813400066774
FBgn0025394	1505.71423209011	-2.98096555269085	0.0904921498926248	-32.941703299435	5.56164429006746e-238	2.66347145051331e-234	-2.97916493284198	6.04184559176918	3.04904854022906e-213	1.4601893459157e-209
FBgn0003517	31400.7572317394	0.206566783062155	0.0604957817962907	3.41456506435001	0.000638839334757425	0.00471765855690564	0.208107475168452	10.42124151181	0.00136385836134426	0.00939786718342111
FBgn0023510	2660.37945499575	-0.265287883916916	0.0456826926278152	-5.80718579962573	6.3531622716433e-09	1.91957691601891e-07	-0.26422351455098	6.86107736223416	7.69755050539862e-08	2.06518595912347e-06
FBgn0025625	2319.02885650936	-0.169783125184869	0.0624944853863105	-2.71676971392519	0.00659224581196028	0.0316811492157329	-0.16842369280807	6.66341676777488	0.00981421440083975	0.0451708532105925
FBgn0025631	2560.94833803324	0.61212687514422	0.0804962551086019	7.604414321118	2.86196998641079e-14	1.90360753679462e-12	0.612996649595616	6.8062603715166	6.80133801046553e-14	4.86143398986857e-12
FBgn0023511	1458.55321103378	-0.296102556260485	0.0579273036908199	-5.11162331740654	3.19402218145984e-07	6.65050966391789e-06	-0.294952475383631	5.99468245198654	8.09747297232687e-07	1.65721359249886e-05
FBgn0023518	1341.79898374854	-0.412456531039837	0.0735532263459371	-5.60759264454237	2.05160199235205e-08	5.64662180538734e-07	-0.411749200763925	5.8745892837624	3.77578643394415e-08	1.12661939141175e-06
