baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0024733	20011.2880834163	0.193787278638652	0.0598354104130293	3.23867217256446	0.00120087515927369	0.00465478845630246
FBgn0024989	82.7033194908353	-2.03670888706434	0.123018575058843	-16.5561085883992	1.44652313876222e-61	2.8275099230744e-59
FBgn0029521	35.0304463403364	0.35551551342031	0.126372147863875	2.81324262845688	0.00490446296438906	0.0156583154243061
FBgn0023534	612.953240411324	0.239333262621923	0.0614099487844809	3.89730438404804	9.72693338702174e-05	0.000512738403857425
FBgn0023537	4494.73345623673	0.18124514105841	0.0755829534315931	2.39796320240975	0.0164865213716144	0.0436209673197024
FBgn0000108	20083.0412729221	-0.133606531969243	0.053099662429789	-2.51614654134391	0.0118645840157296	0.0329866431647775
FBgn0025638	1788.19561313937	0.115919460966453	0.0386972766644027	2.99554570652995	0.00273954241054745	0.00947268491271607
FBgn0040383	788.715731713818	0.231261416592527	0.0628565185920758	3.67919544022728	0.000233970918213629	0.00112442220504272
FBgn0040382	19085.1405522686	-0.16843027473671	0.0507758250157045	-3.31713516589077	0.000909456066791952	0.00368787900412079
FBgn0027343	214.773083820046	-0.272504290895183	0.0683309183059993	-3.98800861529264	6.66302445606193e-05	0.000368892764393995
FBgn0015799	1444.54958580585	-0.122993416803435	0.0395648110554978	-3.10865674629184	0.00187939924808917	0.00684444334532245
FBgn0025639	3605.14157605995	-0.125641687492255	0.0384695871704409	-3.26600041054754	0.00109078091281144	0.00430469698512897
FBgn0002579	20228.0229831054	0.227252625498873	0.0621867167299526	3.65435960360671	0.000257824697990921	0.0012249230939271
FBgn0025633	1626.51738196712	-0.246357712240089	0.0446557287355917	-5.51682212373653	3.45184492608503e-08	3.67353007800471e-07
FBgn0040339	279.994873496063	0.194430593960195	0.0569395503685176	3.41468439251494	0.000638559552877084	0.00270984643219172
FBgn0040340	1872.54920747342	0.353399774784187	0.081134378508473	4.35573404616985	1.32621724004745e-05	8.68250767270982e-05
FBgn0040347	80.5200357085677	0.336162461774153	0.0865949667900059	3.88200924644214	0.000103596937255747	0.000541917785382603
FBgn0040398	7006.69819086383	0.418860495168229	0.101492413922338	4.12701283751848	3.67505885512924e-05	0.000217416212439137
FBgn0040397	1208.07345287492	-0.101191352567438	0.0387469628677913	-2.61159443419381	0.00901210943681663	0.0261887087942444
FBgn0040349	629.631922999627	0.399878600939808	0.139292648921987	2.87078036087724	0.00409459918650873	0.0133622047728725
FBgn0040364	813.197477717916	-0.422725398502372	0.0484801133107339	-8.71956292248963	2.79277753832636e-18	1.03278854293783e-16
FBgn0024361	31.6660359043246	0.844319756192844	0.316812340364709	2.66504693352815	0.00769775787371043	0.022971461460592
FBgn0024985	5904.26053701847	-0.105064925905077	0.0307183263753474	-3.42026855959821	0.000625593425687581	0.0026630817027714
FBgn0027794	795.426840961782	-0.280780235286551	0.0648615405392189	-4.32891715109318	1.49844286213274e-05	9.68426837618582e-05
FBgn0025641	3053.67430953523	-0.284678640922507	0.0443099047523117	-6.42471796122862	1.32114236744629e-10	2.04095187022590e-09
FBgn0026876	109.36844053667	-0.196965843943872	0.0780724645444942	-2.52285930888757	0.0116404962494243	0.0324389505606594
FBgn0025394	1505.71423209011	-2.98186733542044	0.0406967565376713	-73.2703927562445	0	0
FBgn0001189	871.920004527506	0.153094025691483	0.0466198062467537	3.28388378281051	0.00102387134291041	0.00407760487417711
FBgn0024897	147.151477684519	-0.808687330593284	0.183900733807809	-4.39741220085847	1.09549176214325e-05	7.30683850822287e-05
FBgn0025390	2215.99915066141	0.218262060778117	0.0552058460648904	3.95360412593924	7.69827393814348e-05	0.00041942018077098
FBgn0003517	31400.7572317394	0.210636362523149	0.0541662400019906	3.88870193898281	0.000100781795947243	0.000529214935078233
FBgn0025382	305.249881956574	0.195376759109935	0.078557111894707	2.4870664717385	0.0128801330538782	0.0353079319948613
FBgn0023513	222.029680337595	-0.199195119062911	0.0817937712546826	-2.43533359579025	0.0148780660589693	0.0400069884590336
FBgn0023509	685.268847169808	-0.145964963450589	0.0514565329709956	-2.83666533718595	0.00455873681338627	0.0146965941429195
FBgn0023510	2660.37945499575	-0.265446738896162	0.0364017204566386	-7.29214816130351	3.05051415743853e-13	6.95662490474911e-12
