baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0024989	82.7033194908353	-2.07214149546632	0.2280235845259	-9.08739988354565	1.01435741224831e-19	1.07950169939048e-17
FBgn0023534	612.953240411324	0.252175000329186	0.0840913612915207	2.99882171552637	0.00271025849788015	0.0155628632450216
FBgn0025638	1788.19561313937	0.116683770551405	0.0403156417910668	2.89425556353813	0.00380058691715477	0.0203476922820058
FBgn0027343	214.773083820046	-0.27085665752675	0.0754865423940842	-3.58814497175826	0.000333039102249629	0.00275425883466418
FBgn0002579	20228.0229831054	0.225722740978022	0.0690966405197324	3.26676867761119	0.00108782528140464	0.00727597105118269
FBgn0025633	1626.51738196712	-0.249059056095642	0.0706597529361234	-3.5247654534087	0.000423857901360358	0.00336347222802776
FBgn0040339	279.994873496063	0.195973832164806	0.072680328543634	2.69638065886221	0.00700975105792257	0.0332044488787252
FBgn0040340	1872.54920747342	0.35749856041885	0.0994564326569524	3.59452426422675	0.000324984858518722	0.00271141548335568
FBgn0040347	80.5200357085677	0.341881789152117	0.0961737029255206	3.55483649638487	0.000378214205012036	0.00306216031750235
FBgn0040398	7006.69819086383	0.418934473203861	0.108188086752228	3.872279155498	0.00010782235844213	0.00105404078685714
FBgn0040364	813.197477717916	-0.425410775950546	0.0567249484869817	-7.49953569456616	6.40442811498478e-14	4.14470354630569e-12
FBgn0027794	795.426840961782	-0.277730956142512	0.0841674980502923	-3.29974114208029	0.000967740466992497	0.00657377176798166
FBgn0025641	3053.67430953523	-0.292341697934313	0.0669021293601585	-4.36969197737387	1.24421914837174e-05	0.000164601256948957
FBgn0025394	1505.71423209011	-2.98096555269085	0.0904921498926248	-32.941703299435	5.56164429006746e-238	2.66347145051331e-234
FBgn0001189	871.920004527506	0.152296663313903	0.0603994238880354	2.52149198635107	0.0116858337183832	0.0491770278359728
FBgn0003517	31400.7572317394	0.206566783062155	0.0604957817962907	3.41456506435001	0.000638839334757425	0.00471765855690564
FBgn0023509	685.268847169808	-0.148875160508344	0.0568422828580979	-2.61909186300625	0.00881642020504778	0.039667321108344
FBgn0023510	2660.37945499575	-0.265287883916916	0.0456826926278152	-5.80718579962573	6.3531622716433e-09	1.91957691601891e-07
FBgn0025625	2319.02885650936	-0.169783125184869	0.0624944853863105	-2.71676971392519	0.00659224581196028	0.0316811492157329
FBgn0025631	2560.94833803324	0.61212687514422	0.0804962551086019	7.604414321118	2.86196998641079e-14	1.90360753679462e-12
FBgn0023511	1458.55321103378	-0.296102556260485	0.0579273036908199	-5.11162331740654	3.19402218145984e-07	6.65050966391789e-06
FBgn0023518	1341.79898374854	-0.412456531039837	0.0735532263459371	-5.60759264454237	2.05160199235205e-08	5.64662180538734e-07
FBgn0003048	1204.31587427125	-0.302551134031464	0.0706797824450555	-4.28058949200443	1.86398911444008e-05	0.000233022770105694
FBgn0044047	2229.58011236368	0.591286404749466	0.110339550606426	5.3587893144367	8.37814876439791e-08	1.99616688719909e-06
FBgn0040392	65.5196100790547	0.60810419560726	0.111022361853043	5.47731272743224	4.31833639600394e-08	1.10887469171383e-06
FBgn0027296	1089.09955853291	0.213350254662175	0.0616831783751199	3.45880773790071	0.000542572055923841	0.00414084075827773
FBgn0023525	543.577478873599	0.226118914318037	0.080739659795862	2.80059285473514	0.00510088302106482	0.0258498717332057
FBgn0040376	152.555611219624	0.509359689313106	0.11803731106569	4.31524307623067	1.5942737728847e-05	0.000204143772683017
FBgn0029629	2089.94978161537	0.273813229247904	0.0539320482733872	5.07700408224652	3.83432637509738e-07	7.76430824961579e-06
FBgn0011566	380.616662750915	-0.174706225349341	0.0540701154725279	-3.23110509053945	0.00123312592561235	0.00809518856443801
FBgn0040377	491.812246435376	0.301594452541036	0.0708016984887039	4.25970646154985	2.0469554656758e-05	0.000252001792419574
