baseMean_INC1	log2FoldChange_INC1	lfcSE_INC1	stat_INC1	pvalue_INC1	padj_INC1	logFC_INC1	logCPM_INC1	PValue_INC1	FDR_INC1	baseMean_WAKED2	log2FoldChange_WAKED2	lfcSE_WAKED2	stat_WAKED2	pvalue_WAKED2	padj_WAKED2	logFC_WAKED2	logCPM_WAKED2	PValue_WAKED2	FDR_WAKED2
FBgn0040347	80.5200357085677	0.341881789152117	0.0961737029255206	3.55483649638487	0.000378214205012036	0.00306216031750235	0.34292276912327	1.8455902048288	0.00049164930405201	0.00410908990768774	80.5200357085677	0.280920739488302	0.0954759714776867	2.94231873360885	0.00325764439847437	0.0319362518409289	0.276766081824702	1.8455902048288	0.00506973990012302	0.048268358611708
FBgn0040376	152.555611219624	0.509359689313106	0.11803731106569	4.31524307623067	1.5942737728847e-05	0.000204143772683017	0.510476692092821	2.75303726304705	1.91053715218485e-05	0.000257010180388013	152.555611219624	0.49271446447931	0.117561134407881	4.19113397434415	2.77563691352516e-05	0.000524359967608362	0.486760092439491	2.75303726304705	3.96741324628484e-05	0.000755464892105691
FBgn0003996	105.451377094145	4.50022968171893	0.202138812592163	22.2630657814273	8.42820079305343e-110	1.15321867422665e-106	4.47868672495532	2.22727789458239	2.04897134991967e-120	2.8035782270758e-117	105.451377094145	4.90954391969699	0.201228855312768	24.3978126897663	1.80409190121211e-131	8.6397961149048e-128	4.88507698749317	2.22727789458239	6.49442541349622e-144	3.11018033052334e-140
FBgn0029665	240.906158946675	0.277645328295635	0.0730638763575562	3.80003555980125	0.000144675326103703	0.00134926998385713	0.278807498987881	3.40671522915247	0.000202567217882353	0.00195583549685199	240.906158946675	0.218492678833624	0.0726906484389355	3.00578800060054	0.00264893610997322	0.0269651554954074	0.214298573253704	3.40671522915247	0.00394100656075046	0.039617132625101
FBgn0029688	5124.20073165572	-0.341185926426657	0.0415845614547604	-8.20462966280964	2.31302764237156e-16	2.01401625078498e-14	-0.340177874742178	7.80642695798437	2.78489227267316e-13	1.81453729167779e-11	5124.20073165572	-0.429384906919317	0.0415508632679636	-10.333958747143	4.94755959669583e-25	2.63265143428626e-22	-0.433008589174605	7.80642695798437	1.41825556406666e-20	6.46859609172879e-18
FBgn0029791	1084.48041818767	-1.0212213854148	0.0963576652279302	-10.598237130374	3.03649925200669e-26	4.92942200605424e-24	-1.01971617066343	5.56859080375787	1.36149888674552e-25	2.41489561800899e-23	1084.48041818767	-0.439140122521942	0.09574550866692	-4.58653495747383	4.50662973714225e-06	9.90011459228176e-05	-0.442382128586544	5.56859080375787	4.4276659429588e-06	0.00010471156642385
FBgn0029840	1075.83166114971	-0.40101597981892	0.0612905669322722	-6.54286621727703	6.03508152656133e-11	2.61556610232599e-09	-0.400121791119411	5.55670802552514	2.24923100737157e-10	9.83704775735384e-09	1075.83166114971	-0.174714275777651	0.0608713082669026	-2.87022376801203	0.00410181411095416	0.038706576901201	-0.177855365364098	5.55670802552514	0.00466911780447079	0.0450360627706155
FBgn0029851	145.981179063553	1.8180961634114	0.131604515720519	13.814846348224	2.07396286704528e-43	6.40787623889023e-41	1.8176853142219	2.68310100261499	8.7185720078079e-42	2.69375750615433e-39	145.981179063553	-0.536050723334529	0.138992536584229	-3.85668710355311	0.000114934130406843	0.00182560381598133	-0.537931321265508	2.68310100261499	0.000125481764299114	0.00205798688091938
FBgn0029866	786.674334077286	-0.295005882257011	0.0906664492733588	-3.25374915000333	0.00113892802550987	0.007559703831139	-0.293768771277523	5.10614201174652	0.00122079871735286	0.00854704881521922	786.674334077286	-0.258185157630827	0.0904513468879707	-2.85440921018683	0.00431169536945999	0.0400644698501394	-0.262316985345031	5.10614201174652	0.00401148665221673	0.0401064918109936
FBgn0029868	2757.54924647829	0.219902142295358	0.0486765082325765	4.51762359873196	6.25375245912768e-06	9.03445566418174e-05	0.220854454525521	6.91271249523074	2.22722874682458e-05	0.000292224615576519	2757.54924647829	0.170686788145641	0.0486152562148076	3.51097168739495	0.000446471947384797	0.00592286469813239	0.16693449862225	6.91271249523074	0.00130240709149441	0.0154005618794241
