logFC	logCPM	PValue	FDR
FBgn0038144	0.908681510246737	1.42979711603025	7.34230379371814e-12	6.69757959392689e-10
FBgn0039023	0.750658114758967	4.35174158404685	8.29994329490245e-12	7.49010266555498e-10
FBgn0037181	1.13683543829109	0.7013933867542	8.36751916072649e-12	7.49010266555498e-10
FBgn0040503	1.55142497262136	3.90131441850925	8.8139395104088e-12	7.81665857691625e-10
FBgn0031678	0.83434605438388	1.65089587108148	9.35648772650156e-12	8.22169169214972e-10
FBgn0050104	0.545035020881285	5.0152516140898	9.9759879564098e-12	8.68636478604483e-10
FBgn0027836	0.564680682500009	5.85569155182685	1.0626269591916e-11	9.16922613976323e-10
FBgn0034140	-0.669444918623857	6.8128583253216	1.07303848639417e-11	9.1763951988244e-10
FBgn0030263	0.429102283963878	7.6689790952704	1.30559512903333e-11	1.10663629609569e-09
FBgn0031888	0.944185072426844	2.26683098046383	1.50481443460865e-11	1.26430812760366e-09
FBgn0031643	0.425708581428795	5.75480846013628	1.60393407326271e-11	1.31194194839035e-09
FBgn0260745	0.411654001278955	8.55365917776862	1.6054250786394e-11	1.31194194839035e-09
FBgn0020414	0.364388881797757	7.8474421809558	1.61218032333303e-11	1.31194194839035e-09
FBgn0062961	0.740721316987868	3.48979180723658	1.61629933086303e-11	1.31194194839035e-09
FBgn0036449	0.664303697639665	6.83236786050885	1.87552246032285e-11	1.50955917016573e-09
FBgn0033782	-0.825345907576994	5.7568875456291	1.94715757053919e-11	1.55415626755203e-09
FBgn0037071	0.404074851518431	4.81477281657375	2.41625069137615e-11	1.91263215884304e-09
FBgn0034407	1.51260483473319	7.36532208305694	2.59001347534643e-11	2.03337287433345e-09
FBgn0038074	0.983630136200093	7.99675808889105	2.83116676751019e-11	2.19290103878636e-09
FBgn0027584	1.45838326839104	6.74128880074535	2.8390032241544e-11	2.19290103878636e-09
FBgn0264987	1.94932812519911	3.01462474854984	2.89805954095812e-11	2.22060914266375e-09
FBgn0038465	0.555872868790759	7.91986616548895	3.01517444887459e-11	2.28331106612647e-09
FBgn0033875	0.529074842229371	7.83497732604937	3.02756844224328e-11	2.28331106612647e-09
FBgn0003888	0.835203275587238	5.19753658059599	3.66514194706915e-11	2.7384752099995e-09
FBgn0030048	0.475793935447319	3.31635865530633	3.68827836803024e-11	2.7384752099995e-09
FBgn0029167	-0.855885614624451	7.54796707752429	3.72256450738713e-11	2.74267098859646e-09
FBgn0034511	1.29891785467502	5.75222455924274	4.22501944316919e-11	3.08910200203622e-09
FBgn0283461	1.96104156532132	6.97759463856857	7.46720026363369e-11	5.38856061042125e-09
FBgn0052412	0.445048138111201	5.14995540776012	7.52874692997623e-11	5.38856061042125e-09
FBgn0036702	0.472184709836459	7.06483133131051	7.53880895590361e-11	5.38856061042125e-09
FBgn0037144	-0.676391741687641	2.91112257179016	8.02891171731955e-11	5.6963641798879e-09
FBgn0033760	0.636119311612854	3.6301606539394	8.58733029359306e-11	6.04775364353194e-09
FBgn0085452	0.639890698339371	4.40634575944513	9.01265683600289e-11	6.25899228626214e-09
FBgn0034622	0.774579096233892	5.40610638065777	9.01796758722254e-11	6.25899228626214e-09
FBgn0039684	1.35398265320874	1.88389088136244	9.87852647643266e-11	6.80694435908432e-09
FBgn0041581	1.41190675027053	6.16903994667249	1.16730203322229e-10	7.98601348157367e-09
FBgn0030362	-0.690094978233715	8.30744559092422	1.22040369878999e-10	8.29008980639045e-09
FBgn0034500	-0.406360767688756	5.42655714575479	1.23682343967752e-10	8.34246120086711e-09
FBgn0000279	1.44009604554415	3.16255817805386	1.38746030095966e-10	9.29307326055360e-09
FBgn0034660	-1.40412938853115	2.58254824744014	1.46770995865619e-10	9.76230971111733e-09
FBgn0037151	1.0837075836758	2.95725526707276	1.52600095167301e-10	1.00800255966373e-08
FBgn0033728	-0.723519300303053	4.71000453728428	1.68171796192228e-10	1.10325305748572e-08
FBgn0010395	1.19660869705869	2.47190496972634	1.94184416488163e-10	1.26523696675077e-08
FBgn0034468	0.934231388378734	5.14933893861616	2.10610800538229e-10	1.35652166159687e-08
FBgn0040102	-0.88592036134254	4.23575750820455	2.11027069928935e-10	1.35652166159687e-08
FBgn0014865	1.2552102241218	7.71878011679301	2.51582512561728e-10	1.60643820354415e-08
FBgn0036585	-0.823398236899431	1.9059139384664	2.71439683179356e-10	1.72175449370323e-08
FBgn0024491	1.96239090600883	5.26797771854018	2.99137441176458e-10	1.88495948130797e-08
FBgn0038083	4.08342371773635	4.82184419469422	3.70838685251378e-10	2.32149864531876e-08
FBgn0033521	0.7958915851271	3.12023891134549	4.75280216953203e-10	2.95599605063492e-08
FBgn0025628	0.56601085533009	6.88663511261987	4.91514370272274e-10	3.03724170223732e-08
FBgn0035574	-0.433661325215355	4.95151725990173	6.14545282294173e-10	3.77315045757282e-08
FBgn0036146	-0.475860150817115	4.42173841266366	6.85397660122172e-10	4.16815085387349e-08
FBgn0038470	0.881215314284019	2.5297514830044	6.87583874412207e-10	4.16815085387349e-08
FBgn0000053	0.896335554827757	7.29978400232089	7.23778556394316e-10	4.35996919065708e-08
FBgn0266145	-1.40250762248305	0.740351071204074	7.3055612540049e-10	4.37329160567868e-08
FBgn0032601	0.40258818302852	4.70616139463025	7.94808762008491e-10	4.72837162889275e-08
FBgn0038912	-0.368787796826281	6.99473626964436	8.3793839406447e-10	4.95418144342561e-08
FBgn0034335	0.96049022689452	5.28356538554562	9.13108468824577e-10	5.36549258552258e-08
FBgn0028519	2.40605759002567	2.668540164313	9.34128524854338e-10	5.43644237603186e-08
FBgn0005660	0.858960603728993	2.50189420518686	9.36534758869552e-10	5.43644237603186e-08
FBgn0038654	-0.761129555891433	4.05478781349393	9.44991852993548e-10	5.45248913733265e-08
FBgn0033519	0.889872075762521	1.61836881141605	1.02996690601253e-09	5.86764103174752e-08
FBgn0037396	1.00821264648108	3.69754609786393	1.03172643119877e-09	5.86764103174752e-08
FBgn0040294	0.375079327005336	4.49238348331805	1.03532191936243e-09	5.86764103174752e-08
FBgn0030309	0.551840159100721	6.79612353879766	1.11680559053278e-09	6.29221408595469e-08
FBgn0031836	-0.323027668138257	7.39033426856879	1.15279842566456e-09	6.45701948597375e-08
FBgn0038533	0.333985344300373	5.48033207478066	1.21246081275047e-09	6.75171492123491e-08
FBgn0034331	0.718751639038053	8.52571769302191	1.23005293366429e-09	6.81008497031015e-08
FBgn0053110	0.575402426161106	6.36503472057905	1.34272040144897e-09	7.39113563510241e-08
FBgn0050101	-1.25423204510826	0.720425408779627	1.42300564014789e-09	7.78831315504941e-08
FBgn0035346	0.340856104013245	5.81241101094047	1.44780236355611e-09	7.87900627167072e-08
FBgn0259711	0.454021487522093	3.48682919996538	1.73149762731274e-09	9.36965213243021e-08
FBgn0050440	-0.5390652427481	3.07767454173883	1.74977757345366e-09	9.41537617895459e-08
FBgn0063492	0.763757366414483	3.15889871611979	1.78581725288072e-09	9.5556187978165e-08
FBgn0039580	0.411775303575814	5.84132979213467	1.92143109175244e-09	1.02241483315583e-07
FBgn0035996	0.72610406798029	2.67148590988053	1.96039863950978e-09	1.03738663918368e-07
FBgn0028515	0.2423804928304	5.60827506522878	2.01025862219806e-09	1.05792621337434e-07
FBgn0000079	2.63300465061471	5.10134869026604	2.26725353516737e-09	1.18665324370673e-07
FBgn0038854	0.445143497590513	4.94773072274292	2.34926301685062e-09	1.22289354214105e-07
FBgn0039667	-0.462518737311384	3.54797727221543	2.42613693131129e-09	1.25608321773511e-07
FBgn0038020	0.452183207346718	5.59792860817235	2.44077320874301e-09	1.25686697813659e-07
FBgn0031865	-0.605709935610671	4.90425297828838	2.46774975980143e-09	1.2639629518384e-07
FBgn0032857	-0.354152918545959	5.27448183530733	2.7493007928392e-09	1.40068101030925e-07
FBgn0000043	0.548049557165652	5.56451799547917	2.94284932472179e-09	1.491355070486e-07
FBgn0046685	0.426765473110668	4.0592284206675	2.96464338981605e-09	1.49449233619253e-07
FBgn0036714	0.284812591217752	5.6088576896045	3.00362327869226e-09	1.50621485671804e-07
FBgn0041627	0.661995550997909	4.01301740316967	3.36872618833195e-09	1.68050309540851e-07
FBgn0044011	0.511626454718649	3.31286390368561	3.94864774049309e-09	1.95959316364989e-07
FBgn0033482	-0.245033487323498	5.90101935660193	4.0755260619166e-09	2.01213343407408e-07
FBgn0041337	1.62893750379483	0.359186051158231	4.20722802674693e-09	2.05870587006645e-07
FBgn0011286	-0.510115107182105	7.34422301305717	4.21284558919424e-09	2.05870587006645e-07
FBgn0038953	0.371420003261394	4.75983479546285	4.32322379597119e-09	2.10192068618335e-07
FBgn0001258	1.68604498938566	5.55313894151344	4.65688258899595e-09	2.2527081534042e-07
FBgn0011570	0.223088630431659	5.29770708502216	4.7600963319985e-09	2.29106546069757e-07
FBgn0003137	-0.694193329950427	9.22027399594644	4.79043866139959e-09	2.29414107494426e-07
FBgn0033602	-0.791908131611924	4.1436754420778	5.03820069532681e-09	2.40079036118608e-07
FBgn0003388	-1.09697120890916	0.691618932628615	5.07006501925335e-09	2.404013997743e-07
FBgn0036502	0.424004179432724	4.59782484418426	5.34927442586675e-09	2.52390888920944e-07
FBgn0036348	-1.24752779362194	2.02198663517007	5.50043261111098e-09	2.5739357174312e-07
FBgn0002869	2.02665998769181	1.28288132360832	5.50905013649402e-09	2.5739357174312e-07
FBgn0035022	-0.799557297888154	1.09263985999947	5.67665526077586e-09	2.63936913047142e-07
FBgn0032836	0.399967619100623	8.25193901682781	5.77178715100597e-09	2.67063658610315e-07
FBgn0015765	0.278328523761244	4.29429855965056	6.09723379537432e-09	2.80765890827381e-07
FBgn0022355	0.673561621901786	11.4869933622402	6.57926896486677e-09	3.01513101174612e-07
FBgn0015037	0.60567962480248	5.38208000211819	6.65394699864058e-09	3.03483354061807e-07
FBgn0030749	0.299418635731149	6.41990683042414	6.95500053668278e-09	3.15710877442406e-07
FBgn0033814	0.387367629302095	7.21858784128976	6.98804987860355e-09	3.157148195154e-07
FBgn0050197	0.339626091500568	7.69084922510173	8.25813966008037e-09	3.71344890442487e-07
FBgn0011774	0.531273517437642	4.03958406046953	9.09572186340286e-09	4.07097308447068e-07
FBgn0038972	0.382997488921406	4.40704452927563	9.533181834152e-09	4.24692165616315e-07
FBgn0261561	0.748064863560104	4.34889193890406	9.74632774918673e-09	4.31217400971428e-07
FBgn0032819	0.401487186292653	2.87032349333512	9.76969889442471e-09	4.31217400971428e-07
FBgn0036410	1.20852910808641	1.75612799004932	9.97855634238052e-09	4.38415654345508e-07
FBgn0052432	-0.327796234991488	7.09307329224796	1.00585717977557e-08	4.39913245109153e-07
FBgn0041184	0.363472516545226	5.77312883584634	1.05453288038773e-08	4.5910526947062e-07
FBgn0083977	-0.396553453977038	3.03057764641808	1.11509273708922e-08	4.83274128318579e-07
FBgn0031689	0.415927757442408	8.19106862358081	1.15978195306176e-08	5.00377997586736e-07
FBgn0034793	0.554617891415395	4.8337391325957	1.21378863277471e-08	5.21330382274269e-07
FBgn0029831	0.84825985982667	6.6478075485607	1.25106068107508e-08	5.34940143006121e-07
FBgn0260857	0.357378242465016	4.33610420439341	1.2673396220302e-08	5.39492395546901e-07
FBgn0038412	0.542581849882817	4.96045988066027	1.28961951509342e-08	5.46547598033841e-07
FBgn0263006	-0.358992442037108	9.5151399798461	1.36864932247587e-08	5.77485603994445e-07
FBgn0263456	-0.296251214270595	8.55761183589736	1.39938507341399e-08	5.8786448391049e-07
FBgn0030927	0.472126693397716	3.40104365517011	1.43331648323597e-08	5.99489313381403e-07
FBgn0031548	-0.77163236409976	1.58239100236031	1.45877130430357e-08	6.07483110983459e-07
FBgn0000278	1.60576708235764	1.21577420727221	1.54921434920795e-08	6.42353897693237e-07
FBgn0040735	0.624532441482537	7.05864864467116	1.63450231105609e-08	6.7479582479721e-07
FBgn0040923	-0.38440673504413	8.2795202377292	1.70327193092174e-08	7.00169036668174e-07
FBgn0243514	-0.875744579138083	3.42446690508123	1.78525967434193e-08	7.30735776104575e-07
FBgn0051313	0.524620818593514	6.88740246811292	1.84516602587994e-08	7.52042561526724e-07
FBgn0036877	0.642749915728605	2.67200774149163	1.89689001686004e-08	7.69847990740911e-07
FBgn0052037	-1.06978507031715	0.619591505901663	1.97343755358718e-08	7.97535227352658e-07
FBgn0050295	0.435138914352445	5.42357867289034	1.9841422925059e-08	7.98492221748803e-07
FBgn0261625	-0.412924106538663	6.46203246731467	1.99923346280415e-08	8.0119908396394e-07
FBgn0033928	0.850564511020799	3.47835357259994	2.11402365025318e-08	8.4367160508854e-07
FBgn0037973	0.603038947378616	4.53626400192079	2.28813368286531e-08	9.09366988152859e-07
FBgn0010388	1.66521690881972	8.38507974633735	2.31685382808205e-08	9.16976279560737e-07
FBgn0004647	-0.345104128716635	4.94371437016388	2.33111035633246e-08	9.18822016170876e-07
FBgn0262570	0.862419867447142	3.20427101148557	2.37731157197122e-08	9.33192222800835e-07
FBgn0034398	0.274137354846087	9.06938271331714	2.70556129471976e-08	1.05770881962555e-06
FBgn0035434	1.04630189470532	6.556240529764	2.75985526689184e-08	1.07454852627195e-06
FBgn0043578	0.910912887396306	7.02488623497465	2.87205820082936e-08	1.11370742702606e-06
FBgn0010385	1.53247794257291	3.64553753899323	3.39645288706916e-08	1.31174297388502e-06
FBgn0086368	-0.671764437124643	2.42095708039939	3.5139527844512e-08	1.35167227989854e-06
FBgn0004629	0.664197040367859	8.59908176028489	3.61193155357718e-08	1.38380321680649e-06
FBgn0030925	0.542812782056339	5.32682918093614	3.72414271064803e-08	1.42110911882816e-06
FBgn0035512	1.32682127501895	0.468808263990354	3.82037017889056e-08	1.45204387196086e-06
FBgn0022338	0.278942483945051	3.62274528864685	3.94493713701554e-08	1.48784594557366e-06
FBgn0031851	0.420188939993141	4.13320970193303	3.94563447667268e-08	1.48784594557366e-06
FBgn0001216	-0.566789290908989	4.503404037664	3.99129484314322e-08	1.49916164735787e-06
FBgn0034312	0.585987463579294	4.651305842978	4.26008063062194e-08	1.59386922969129e-06
FBgn0032899	0.260220516246875	6.73237183626283	4.30964553275931e-08	1.60613949076921e-06
FBgn0032140	0.592215981801479	6.25634760067669	4.48795554116918e-08	1.66611000671777e-06
FBgn0030052	0.24648407157253	6.58574694753892	4.54388781739069e-08	1.68036129401421e-06
FBgn0033205	0.80118905538861	4.82787254383983	4.62707352692612e-08	1.70454270157302e-06
FBgn0052512	0.520103397329697	4.59992600583571	4.92736652514037e-08	1.80821136313389e-06
FBgn0010383	-0.775763266933946	5.03086447713496	4.98304525399736e-08	1.82166440621323e-06
FBgn0283437	-0.8440337221991	4.73955830367401	5.04216629588043e-08	1.83626877497881e-06
FBgn0036030	0.539246806755428	8.51987869010271	5.17153308246608e-08	1.8758514502568e-06
FBgn0010173	0.324720384788731	5.85873893263688	5.19002541572407e-08	1.8758514502568e-06
FBgn0032393	0.50200050190206	6.22441732450553	5.51101005616089e-08	1.98437798187628e-06
FBgn0005536	-0.25980902743683	7.86896417857446	5.65698849018411e-08	2.02931220071099e-06
FBgn0010651	-0.472504384276833	6.42897262523606	5.78244728183694e-08	2.0598885294414e-06
FBgn0086676	-0.397723258199296	7.96353038632327	5.78523715201229e-08	2.0598885294414e-06
FBgn0033574	0.350933850929991	5.84637613510379	5.98041456149976e-08	2.12149669148314e-06
FBgn0039024	0.445726724222444	6.92146321528949	6.01726021537673e-08	2.12669071375935e-06
FBgn0041710	0.687520480001342	3.72258209334349	6.06561387256357e-08	2.13589888497845e-06
FBgn0051793	0.464296648183398	5.98036451442243	6.31329674723308e-08	2.21497275622705e-06
FBgn0025620	-0.914964973694033	6.03311955259019	6.37731040573653e-08	2.22926565934834e-06
FBgn0027088	0.356594539763616	5.55290766425127	6.7688506960407e-08	2.35752916242465e-06
FBgn0031881	0.569202423969096	4.31237186597359	6.89382860519487e-08	2.39235834712161e-06
FBgn0262353	-1.04818540353846	4.45686975715467	7.23815315066814e-08	2.50278089809023e-06
FBgn0035266	-0.493287081200465	5.3696194117745	7.98476922637326e-08	2.75101149820874e-06
FBgn0054054	1.05296453443398	4.78592392108294	8.1141415565231e-08	2.78556443829313e-06
FBgn0035805	0.390680960941357	4.40137904372234	8.52570693548062e-08	2.91640075100119e-06
FBgn0035049	0.492440898518369	6.28216832762048	8.71286589874665e-08	2.96981599922404e-06
FBgn0000592	-0.504917937513553	8.73307320412853	9.24577806591412e-08	3.14028589770658e-06
FBgn0250819	-0.37248805401348	6.20776998115141	1.02037850264419e-07	3.45342236689965e-06
FBgn0035589	0.271834773775603	4.67120981660285	1.05000599966575e-07	3.541182205915e-06
FBgn0000715	0.584265707263489	4.46757892452465	1.07305916884877e-07	3.60623183131002e-06
FBgn0030310	1.09542835640019	4.19768265557939	1.08041220744634e-07	3.61824759542695e-06
FBgn0037835	-0.293618853797958	6.82901225918195	1.15250675520928e-07	3.84624031407475e-06
FBgn0030421	-0.287102271606319	5.74223844139078	1.16139305712311e-07	3.86243843789067e-06
FBgn0010424	0.549789409476714	3.16249481043367	1.20135695875737e-07	3.98152143632458e-06
FBgn0030040	0.889000748576309	4.72278880102674	1.22857066011737e-07	4.05767233882902e-06
FBgn0015038	0.905813049824324	4.61079358222592	1.23969375447593e-07	4.08033909978365e-06
FBgn0036665	-0.548079290517111	2.8614338382326	1.25883907362382e-07	4.12916460519486e-06
FBgn0032507	-1.32195290219392	5.29562920581738	1.32418529900521e-07	4.32868491258428e-06
FBgn0033945	0.471012252865349	4.48769909946533	1.33214112420349e-07	4.33988016585749e-06
FBgn0039972	0.61222602162361	2.66691256883496	1.41806301792819e-07	4.60413816464956e-06
FBgn0027079	0.363126135148608	5.8014364857057	1.43427303307619e-07	4.64103618608234e-06
FBgn0063493	0.926745029752378	3.71295433774708	1.55332841990366e-07	5.0093534026388e-06
FBgn0027343	-0.411283616009484	3.24166782086628	1.58054364469062e-07	5.0800157814922e-06
FBgn0035679	0.496741143716123	4.00116289691662	1.60204912753709e-07	5.1319152319566e-06
FBgn0032906	0.419858776479203	3.28412069071252	1.69507771980945e-07	5.41181813344498e-06
FBgn0030670	-0.251336028920013	8.21890369715915	1.72557704687862e-07	5.49088935382174e-06
