baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	logFC	logCPM	PValue	FDR
FBgn0031080	92.4077756728922	0.67766957866229	0.153115960620166	4.42585851871695	9.60594704473869e-06	0.00017197338466263	0.682674936966586	2.04834503843698	1.06575023610725e-05	0.000203341748235761
FBgn0027343	214.773083820046	-0.41721074483259	0.0751803893459894	-5.54946241249876	2.86549348045521e-08	1.05155925501149e-06	-0.411283616009484	3.24166782086628	1.58054364469062e-07	5.0800157814922e-06
FBgn0015799	1444.54958580585	0.18525512678495	0.0538201867391493	3.44211230040556	0.000577190578965901	0.00546953438225581	0.190695443410663	5.98152864871646	0.000812357872767966	0.00765823199347597
FBgn0025620	1499.03945583889	-0.918888049726579	0.167798333200649	-5.47614527629305	4.34690857885258e-08	1.51724031200628e-06	-0.914964973694033	6.03311955259019	6.37731040573653e-08	2.22926565934834e-06
FBgn0025633	1626.51738196712	-0.238080058104527	0.0705168547582073	-3.376214933591	0.000734904840560849	0.00671075155892723	-0.232167464399161	6.1517406829143	0.00118335230565699	0.0104751833489673
FBgn0040349	629.631922999627	1.00187848286213	0.231993658194187	4.31855978590378	1.57050681142916e-05	0.000260272956277785	1.00665346662452	4.78718240311646	2.10045535349006e-05	0.000361837434815248
FBgn0040364	813.197477717916	-0.202412673951773	0.0560700470417067	-3.6099965067126	0.000306201128899689	0.00319756360508855	-0.196691151911324	5.1538412134044	0.000774269575035878	0.00739377267167861
FBgn0040360	27.0169710381077	-0.858065175936623	0.28608340613741	-2.99935318696703	0.00270553478350412	0.0192666261385892	-0.851508500642206	0.31675445351587	0.00322318798832144	0.0233522651680354
FBgn0024361	31.6660359043246	1.30049274622271	0.328709384656301	3.95636025902487	7.6100370316364e-05	0.000979431279946117	1.29756220055871	0.561998809295209	8.48272794579405e-05	0.00116400527600022
FBgn0024365	1241.0746950426	0.230652082120493	0.0448797689594659	5.13933309970492	2.75715261080837e-07	7.50227491656891e-06	0.236236120557296	5.76264300443076	1.26020048545446e-06	3.08700773649176e-05
FBgn0026876	109.36844053667	0.288432032380312	0.0867856182122956	3.32350034858019	0.000888953116788929	0.00780420985573268	0.293790413713237	2.28576238940407	0.00124572304554085	0.0109463626882479
FBgn0025381	1721.29818419459	0.169285308263076	0.0496026936666769	3.41282490424107	0.000642932365355632	0.00597284791016124	0.174703870500331	6.23403665181284	0.000998110471522803	0.00914234634952641
FBgn0023530	322.316811696507	0.403795609013833	0.112019911040491	3.60467710841045	0.000312541256305017	0.00323974042520503	0.407569241573124	3.82310279049832	0.000259534785606757	0.00298060452822725
FBgn0025628	2706.50854198295	0.560839391045234	0.0902848209124256	6.21189016467383	5.23510159517337e-10	2.93226918588132e-08	0.56601085533009	6.88663511261987	4.91514370272274e-10	3.03724170223732e-08
FBgn0025625	2319.02885650936	-0.185676697163297	0.0623964704766577	-2.97575641290092	0.00292266906202314	0.0204181796324271	-0.179952728447045	6.66341676777488	0.0058296631336915	0.0366621887685471
FBgn0025631	2560.94833803324	0.253743227505915	0.0805279429327363	3.1509960178402	0.00162714708694005	0.0128906656730454	0.259246842979026	6.8062603715166	0.00150458151230385	0.0128096726443078
FBgn0023511	1458.55321103378	-0.309559655826383	0.057752460069885	-5.36011202729357	8.31703601628801e-08	2.67009484113032e-06	-0.304111760742935	5.99468245198654	3.73112846446091e-07	1.05415898065169e-05
FBgn0023518	1341.79898374854	-0.221388111485605	0.0732588596679941	-3.02199778277912	0.00251112387523473	0.0181933014198171	-0.21600456314579	5.8745892837624	0.00361768926245556	0.0254406958559467
FBgn0023540	1388.8864525904	-0.200245352440969	0.0722432969168041	-2.77181913045265	0.00557440006562785	0.0335163865841705	-0.194601237354237	5.92409240634241	0.00794053400484844	0.0467451964956597
