WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0016123	29.8156671639883	26.9232763000895	20.1510168791527	19.9352925520226	23.7280137166074	27.202597624913	26.9475331333197	23.3203496953257	21.5974316658336	20.8913172042638	22.2620207062574	24.15652175203	39.5896853258577	28.4310249955152	18.5250067832057	37.7405095929294	19.999405581448	26.4778608476805	35.1241904548345	28.2832577199542	19.35869382158	18.8065821802882	22.8224326688877	22.4959414426427
FBgn0031800	14.3757632752989	13.0863996803559	10.3867473699533	8.39023136863994	11.6353089235963	11.3198715667389	14.1206945236858	13.5141628518524	10.0418197853491	9.83133296000449	11.3641993315129	13.0988913832979	9.70337785047733	10.3562155040634	6.1617922275138	6.16452156775085	8.48804348986904	9.58867515699193	10.1168118243266	10.9765791824232	7.86365642096068	7.96150229434661	11.2530461858879	9.19906491408316
FBgn0033924	38.0333356503095	36.8276150959649	34.108162216228	33.1833307378365	35.7345059100593	35.7640732306797	37.6176509522719	35.5399750219989	31.6585725115934	34.3238393339005	33.6898857088557	36.2037390801831	33.19582761101	33.6485965046743	34.1344592276984	32.2651885199453	35.3874326349797	33.2359855321025	34.8695220842978	34.5051347320638	29.8665524648505	34.5504177134216	34.2527038005621	33.3764436010172
FBgn0037726	0.493557909256375	0.26411004588113	0.190643750133144	0.105557522790424	0.136439296832891	0.281613984595981	0.226691985462729	0.22904399051385	0.153533528968949	0.161591039089626	0.207864457418047	0.258214196678773	0.165281736140128	0.142566412132533	0.118704833821388	0.21199894868109	0.224920731745544	0.207341659294292	0.115126731013259	0.137398131319164	0.0814080132621054	0.157015542575079	0.153298750344612	0.140197712243281
FBgn0086673	0.999467782485264	0.773080091563643	0.458889913317986	0.325205608361313	0.494122594210361	0.695758106877744	1.14936890149051	0.582344792060519	0.302727617684402	0.208075038111398	0.487674232601995	0.595087340408247	0.592530878368499	0.426860652247673	0.37257673965913	0.176622254554886	0.515679476677238	0.337279021486626	0.582050111931615	0.612498662525246	0.496137665555545	0.433430521967007	0.456755540880224	0.361875802946806
FBgn0030087	57.9717453048985	58.5271804108108	55.5112443732564	47.5227723337999	50.0983446078635	56.158720731788	53.9133643988285	59.425509094991	58.2975736207912	50.7481081307096	49.4625903832225	53.9484932705367	52.5970443819377	53.2836852888242	54.4934471042522	48.4245090885686	46.6781168888677	52.6672896259835	53.8052092875602	57.4005673018649	59.5612114661057	46.8586606350257	45.5691746643363	55.1966421351565
FBgn0033982	3.22269409801603	3.18875527250494	2.25031218410155	2.34636085671732	2.06063473447358	2.40122443745526	2.81542456407557	3.442887504862	2.37171276542397	2.2390995415085	1.86212904480154	2.31302870778919	3.20633598480763	2.98761352872961	1.90592954524952	2.42423211871402	2.00124860959939	2.04837594380058	3.17083145454615	2.88646089200337	1.82562191228401	2.33525004235436	2.21510888426403	2.02376888423228
FBgn0030634	6.71138711066523	6.80695994538996	6.18199498199603	6.02007747164138	6.7523529555053	6.88130557239426	6.60847618335544	6.34768296078679	6.02619101203127	5.72988633506582	6.20797726861652	6.44487544470152	5.52191254831791	6.24553090187079	7.64616595405621	4.9453980106064	6.08070582916731	5.98537055540944	5.85781043216501	5.48845796302096	6.22894646929746	7.08532635870042	6.39809367757723	6.49210997035646
FBgn0036727	4.99634484767811	3.68913621086568	3.08044446556367	2.68594672090324	2.88395637133686	3.8677851629262	4.53549565655358	3.72998495000878	2.62031011223441	3.35115072218429	2.89659661339483	3.82274746487735	5.34408051744722	3.86949373377353	2.24082962766792	4.66804215684411	3.18581690391339	3.47785901280704	4.11503476644512	3.48276518708615	1.63908530683757	2.27061649229403	3.01795790906186	2.5072829875013
FBgn0051235	2.70331505110539	2.09520083066482	1.96339097900325	1.93767255022017	2.42072961551048	2.51123783425146	1.71207115839505	1.96503126015119	2.00215355359148	2.51828988712659	2.72023853200437	2.10772692906514	1.42984305745194	2.03158936888644	1.4941795871377	1.45577623845833	1.73600373626079	2.32932017955689	1.66465398491813	1.68436187621834	2.31853883364165	1.77086334464788	2.10114766744721	2.39573840853138
