WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	WT2U_old_ZT00	WT2U_old_ZT04	WT2U_old_ZT08	WT2U_old_ZT12	WT2U_old_ZT16	WT2U_old_ZT20	WT2U_old_ZT24	WT2U_old_ZT28	WT2U_old_ZT32	WT2U_old_ZT36	WT2U_old_ZT40	WT2U_old_ZT44
FBgn0034179	53.3822934751557	47.9792225203889	42.8704345537499	43.3564851995231	46.1624340401188	52.5148452453828	53.7155716255534	48.1423157135284	38.0214941728258	45.009709254829	47.1710947317724	47.6567085917359	52.0399383941201	46.2311803283492	44.1145292885678	54.5135371741555	49.7293271379033	51.8770306856661	48.3622687366165	47.1144229777506	42.8017811790651	49.6451760583197	51.4997316019314	56.1694454786109
FBgn0033924	38.0333356503095	36.8276150959649	34.108162216228	33.1833307378365	35.7345059100593	35.7640732306797	37.6176509522719	35.5399750219989	31.6585725115934	34.3238393339005	33.6898857088557	36.2037390801831	38.6327657994	37.598255806574	31.3532307389767	40.6581971636778	41.0102349636149	41.8871258273336	36.9868033685865	36.5031927451281	36.1509536440357	40.5171689138954	40.8976211649626	40.1656114500407
FBgn0037726	0.493557909256375	0.26411004588113	0.190643750133144	0.105557522790424	0.136439296832891	0.281613984595981	0.226691985462729	0.22904399051385	0.153533528968949	0.161591039089626	0.207864457418047	0.258214196678773	0.425912336548058	0.231320134580987	0.1606594810142	0.235448421863473	0.18232327566071	0.161204747211339	0.188188104540384	0.09639173579753	0.171751224125818	0.129886373452208	0.0990178172764216	0.135131357074714
FBgn0030634	6.71138711066523	6.80695994538996	6.18199498199603	6.02007747164138	6.7523529555053	6.88130557239426	6.60847618335544	6.34768296078679	6.02619101203127	5.72988633506582	6.20797726861652	6.44487544470152	5.33321173168788	6.15889858321878	6.01217901607826	7.22041827047984	6.79329512678126	8.00760521362297	5.88087826688699	5.80467125199653	5.98201706756399	8.16993615063971	7.5660791830169	7.36494525581996
FBgn0051235	2.70331505110539	2.09520083066482	1.96339097900325	1.93767255022017	2.42072961551048	2.51123783425146	1.71207115839505	1.96503126015119	2.00215355359148	2.51828988712659	2.72023853200437	2.10772692906514	1.7320505081075	1.90231594236409	2.19417110974134	2.06535028384703	2.78456037286144	2.62879756595638	1.68533584229065	2.35667651154996	1.68758693502061	2.36714864289739	2.94572691396944	3.10783019616159
FBgn0016081	26.9435033177974	22.8138946689566	14.9419755969883	16.9967547002654	21.0883858840877	18.1444984834964	24.8244702079533	21.5662416581075	17.1232735607157	17.3446024568567	19.6561007808405	22.9510186049444	25.366608807244	18.1573746697472	12.2994182258614	18.930095728102	21.0030954951413	19.6456268725912	18.323011788757	13.3457677233058	12.7604637461229	17.3134790643377	18.3158358433986	17.906937149213
FBgn0015777	99.1351677129793	97.5084039271386	85.6678011864113	77.2016968593607	84.18039746045	93.1580152718008	88.2383305073842	82.4742247711785	77.1609256743165	76.557858503802	82.4201761922413	95.0748946668092	92.2446248209146	87.8742920889833	87.1243915330785	93.4770707994571	115.377882597817	103.206582615839	98.3468917678778	96.7197930549369	86.7909505145598	92.6311285763845	109.902722891422	95.4609458985637
FBgn0035171	19.1871969203606	19.8111813613391	17.0069629498379	18.0881913750708	17.7316333707285	17.6887908758487	18.9241216649527	19.8521351361487	18.135948142598	18.8319062323976	16.3950975744415	14.5952647027857	18.8383705908341	18.3490489156627	15.5789369776002	21.3674108196331	19.2344892074572	23.5241129412595	17.1824476988659	16.334971694572	18.2724230587891	22.7724462981687	21.5529496248797	22.3393206655237
FBgn0031695	7.84852760600586	7.64990402629853	7.06916744066913	5.95794494003315	6.12142480192956	7.27337653579058	8.56698897205482	7.36770429602376	6.66656731576633	6.04657347771453	5.90446204966266	7.09691264634094	7.82471906209915	6.47101032354202	6.88805016515114	8.99199904868545	8.9810674579818	10.381407739295	8.58329928865698	7.91360545759921	8.63121358919165	9.84319475409925	9.38209033539677	11.3238862167334
FBgn0035290	30.7829768854074	30.646261861452	25.042618024015	17.7731335684386	29.6736675104411	29.6920686317348	28.8781463876075	24.0498640231995	21.6938211957064	21.9855634430337	32.5101281401273	28.7051623711455	20.5565587319897	21.6738816612549	21.4140887679477	19.7975484044027	27.1314869829602	20.6860584958721	33.640750681995	30.2208084853216	20.8284854800918	22.8608311261091	23.5871711073102	19.3325613325149
FBgn0031702	16.2247042515917	15.5061325631883	14.1000987187832	13.3714158903829	15.6428314388525	16.5073178513769	14.8159655361553	12.6946780135485	11.0270432059482	14.1154216120231	17.263241359611	14.7945887680937	12.7214246992405	11.8869863855143	13.2944353118722	12.4265173589262	15.8724515561264	12.0658748901297	15.6388496067075	16.7972559550209	13.2246654558734	12.5940583567557	14.4538273485027	12.4411810826851
FBgn0014464	2.12826752097842	2.20102687411341	2.07167279048017	1.3098891532137	1.54008716924101	1.68415272631579	2.02082220756846	1.83785425465175	1.69838106053067	0.98214993334104	1.19409925175022	1.71210026688607	1.43615198339136	2.31827710223178	2.16454823525182	1.06852100841816	1.55142458185638	2.14971495049494	1.6625826067261	1.4409203905685	1.9486198903723	1.74758380444733	1.35897107369663	1.78650451971304
FBgn0035480	35.6252838276526	34.8815893844722	29.4676647395	27.8093452584152	25.6032320853695	25.0986603397036	35.6661904873352	34.7480868022709	34.135549090961	30.2548882548683	27.6190188533786	22.5197798973643	45.1722404858111	38.9389980753099	41.0811844656108	50.9857081883536	34.8912588702289	37.3862800050078	37.3552234425938	37.358457554495	35.8759436080122	43.7670715707789	31.9439344456161	40.9839117896103
FBgn0033792	1.55999199693631	1.74760272142509	1.14920650716752	1.02871227539956	1.10059148892504	1.14423527768339	1.52664386956778	1.45349388782149	1.49208747880666	0.992557203379625	1.07817150029047	1.1552321210868	1.41485435970056	1.25264051755935	1.15061417296896	1.24084426552042	1.57658255219557	1.58792750661148	1.23058403857665	0.925806897809164	1.59666028854858	1.25599694460386	1.49416178521116	1.39530666232709
FBgn0035490	10.985274591517	11.7571604541968	11.2142197484279	8.39978184140932	7.60334796594109	9.59571997041796	10.7730192225052	11.2337481955932	10.3313188596477	8.29029742268175	7.54118776365653	9.73834414624029	12.2154929964797	12.6329537403267	14.5145354262602	11.6848245279389	9.9996681860864	13.9221149199531	9.87826678949416	11.5598690948974	11.5047451233284	10.5195818287877	10.5909279697574	15.1389200242977
