baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0031080	92.4077756728922	0.656564408874931	0.120424830644899	5.45206835964723	4.97873087765109e-08	6.76401196399179e-07
FBgn0024733	20011.2880834163	-0.183476546517363	0.0598412462282627	-3.06605490496466	0.00216903480876819	0.00905776611683174
FBgn0040372	1195.21466992467	-0.163985653816897	0.0475540741454443	-3.44840388050341	0.000563910136704316	0.00283226601434396
FBgn0000316	917.536513861699	-0.110677707534922	0.0459656108011207	-2.40783719841754	0.0160473352597063	0.047541409563089
FBgn0023536	339.47104488291	-0.120344402784982	0.0485322632609409	-2.47967835618818	0.0131500944866991	0.0405380125502428
FBgn0023537	4494.73345623673	0.197760664055271	0.0755375555221981	2.61804426537414	0.00884353323477586	0.029298983508365
FBgn0029523	170.203204745567	-0.201032730363791	0.084070289671948	-2.39124583902641	0.0167913053157197	0.0492881159405343
FBgn0010019	8062.08818697342	-2.83059510088602	0.966764590582263	-2.92790522993939	0.00341254043967795	0.0132008531224699
FBgn0052816	188.826524659478	-0.201290032364124	0.0644818155485727	-3.12165578235769	0.00179837073239186	0.00768278094328688
FBgn0040370	1072.24541830354	-0.167243688069672	0.064118608141507	-2.6083486980967	0.00909802223904337	0.0300071821644481
FBgn0000108	20083.0412729221	-0.199664447766049	0.053090596541335	-3.76082509471512	0.00016935381911985	0.000995135508914063
FBgn0003575	1538.51715833902	-0.0684723586805403	0.0245079884928321	-2.79387917537853	0.00520799332926431	0.0188305625170606
FBgn0025638	1788.19561313937	0.102515086935995	0.0385108629765137	2.66197843965519	0.0077682854119952	0.0264033490688751
FBgn0027343	214.773083820046	-0.418004485874258	0.0679917619285061	-6.14786959505172	7.85305542926684e-10	1.42997271675889e-08
FBgn0015799	1444.54958580585	0.186108938233253	0.0389971345544689	4.77237469776931	1.82066379653657e-06	1.75966880355472e-05
FBgn0025620	1499.03945583889	-1.01871055391318	0.114531771252471	-8.89456735692631	5.86473295256178e-19	4.35445055966176e-17
FBgn0025639	3605.14157605995	-0.131030258487415	0.0383733974055005	-3.41461187558632	0.000638729565556965	0.00313775184258041
FBgn0025633	1626.51738196712	-0.235276079873749	0.0444340287437389	-5.29495268661413	1.19047229376159e-07	1.47881307240585e-06
FBgn0040397	1208.07345287492	-0.195617281666152	0.0385901325303353	-5.06910105873255	3.99698975120593e-07	4.42751565579912e-06
FBgn0040349	629.631922999627	1.04504318485972	0.138683944724771	7.53543019657892	4.8672750372496e-14	1.68298773670674e-12
FBgn0040364	813.197477717916	-0.200962806859461	0.047726202722528	-4.21074368786104	2.54531399129443e-05	0.000186099369531435
FBgn0040360	27.0169710381077	-0.928976843200811	0.285885583882084	-3.24947075185146	0.00115619967271282	0.00524824235593603
FBgn0024361	31.6660359043246	1.40620687848828	0.31130621800377	4.51711786390096	6.26870165414804e-06	5.40915535526396e-05
FBgn0024365	1241.0746950426	0.230542258001742	0.030962481067534	7.44585866678102	9.63158766514574e-14	3.18108091919882e-12
FBgn0024366	39.7637030242447	-0.343816921705433	0.133865702199976	-2.5683720030977	0.0102177438848802	0.0330850408821443
FBgn0026876	109.36844053667	0.282023894573491	0.073147740084156	3.85553804190019	0.000115475370803844	0.000714485207725591
FBgn0025381	1721.29818419459	0.170553986391675	0.0439417589915749	3.8813645676855	0.000103871991873712	0.000649403353894526
FBgn0024897	147.151477684519	0.872439451282007	0.176820401494183	4.93404292666256	8.05447255696954e-07	8.29524066136068e-06
FBgn0025391	529.174672103269	-0.125101104693438	0.036977641896742	-3.38315528726186	0.000716581020510582	0.00347338715306192
FBgn0023530	322.316811696507	0.413750146721431	0.112171504031031	3.68854951438445	0.000225536139097231	0.00128124860039934
FBgn0003517	31400.7572317394	-0.140446646075194	0.054170743594356	-2.59266601778431	0.00952352041377128	0.0311957176891591
FBgn0023519	481.743045775329	0.123299922772445	0.0422402802343225	2.91901289689498	0.00351141695901708	0.0134791991470827
FBgn0023510	2660.37945499575	-0.0911114772723563	0.0361319035396299	-2.52163512980777	0.0116810800596351	0.0368637182244433
FBgn0023522	590.544137971397	-0.120871102709984	0.0411864431920042	-2.93473029818339	0.00333837716435147	0.0129926763430144
