WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44
FBgn0016123	29.8156671639883	26.9232763000895	20.1510168791527	19.9352925520226	23.7280137166074	27.202597624913	26.9475331333197	23.3203496953257	21.5974316658336	20.8913172042638	22.2620207062574	24.15652175203	24.9151647542476	28.9735931697445	16.5437514384349	16.7184539186475	19.5886531479572	16.3585408416267	23.3402088693527	24.5715721250094	20.4814286231979	20.9318373316727	20.1230528141539	21.2599921678673
FBgn0031800	14.3757632752989	13.0863996803559	10.3867473699533	8.39023136863994	11.6353089235963	11.3198715667389	14.1206945236858	13.5141628518524	10.0418197853491	9.83133296000449	11.3641993315129	13.0988913832979	14.6699385587366	13.9088137940543	10.7112064394441	12.0481834901535	16.7284801860591	13.2872576718559	18.3544119742771	16.7338366903588	12.9291286018077	15.1538913996089	16.006750232027	14.880951699967
FBgn0263077	53.884293882759	43.6548117810838	39.9555654299804	25.5720103936525	46.4459307556435	53.4307898275988	49.9056288599201	44.3169614466788	39.8646472209813	26.4089778193096	42.7845728502837	52.8547244191585	38.0840380272751	36.7926939845593	42.4271191171658	26.7054908448704	37.1875704601567	43.8000237800639	36.8356376812463	39.3151364248924	39.543913925335	29.0019619333819	40.7841572022954	42.9749454121854
FBgn0004368	18.2540982865621	17.0281908111819	14.3100373842604	14.3860272405811	16.8215018802728	17.6438020681986	17.2933107559262	16.6185547037461	16.1235266914725	16.5942379429008	16.4607331366198	18.593659946423	15.6148835918669	13.4314899273742	14.6212264827264	11.1975744535331	13.3958404285682	13.1974548016193	12.9833477887835	12.3194741826103	10.0783511146996	10.7416796224215	11.8499587794263	13.9527560334314
FBgn0036770	14.8092996594856	14.34783776747	13.1591301331298	11.4659278126372	13.06556129634	14.7454881079454	14.9954775048592	13.905218354727	10.5467984469244	12.5506237960331	14.3859678693963	15.403414386296	14.9987030781271	13.6255207008202	12.7462251241723	12.1867016780552	14.199198014387	14.645237581183	14.144086375333	13.3110842139877	12.9011971847041	11.3362427564767	14.1838704903671	12.854566440743
FBgn0034707	4.45108761961564	4.1698621272725	3.54160521701842	3.70115853645213	4.78257661875178	4.97967763022495	3.82302486036004	3.68594768381133	3.64128030827666	4.22624098790168	4.67321361203909	3.85175951149178	3.85527938392702	3.38690431969831	2.38526838862163	3.3006492352368	3.81265217101371	3.48324540550325	3.28211659500627	3.72305375414687	4.08104233650171	3.55296211428533	4.03183670607767	2.67112879863115
FBgn0037726	0.493557909256375	0.26411004588113	0.190643750133144	0.105557522790424	0.136439296832891	0.281613984595981	0.226691985462729	0.22904399051385	0.153533528968949	0.161591039089626	0.207864457418047	0.258214196678773	0.451949954107095	0.551644574223986	0.4809867860916	0.759925241455224	0.65834848131552	0.365677863944652	0.655793219825592	0.590218228259068	0.354211760684554	0.527487549390483	0.389428490068446	0.494344775008598
FBgn0086673	0.999467782485264	0.773080091563643	0.458889913317986	0.325205608361313	0.494122594210361	0.695758106877744	1.14936890149051	0.582344792060519	0.302727617684402	0.208075038111398	0.487674232601995	0.595087340408247	0.321795531477853	0.262728883829799	0.149183222930705	0.251635011066153	0.252260314656673	0.300947596612885	0.2223346013635	0.386347697324894	0.307301347156478	0.252137284508196	0.209413705353092	0.267261247375269
FBgn0000116	358.106817402971	386.388456042596	310.028915512306	284.2987893376	307.806913795504	324.72402217883	341.798242200585	412.078267143777	318.581853527338	284.635176536759	298.508359568692	297.430487369656	308.722252454669	332.443378320461	239.78052527179	246.075263977785	291.264898938525	255.827447738594	333.510685090214	353.045888724867	290.45118395744	277.705599004603	309.279360197981	274.804239340645
FBgn0039737	346.414080614531	353.485643795303	295.055198247388	305.791957289271	339.347156908695	354.139755566125	341.468240156225	332.082071005282	268.734317645007	315.118410801751	354.390371320978	341.065014160752	300.721228953027	291.40094085163	237.230837520752	293.194820734738	301.669767657492	304.553223244599	314.388692688768	331.483906856518	321.658092634052	319.308307214298	314.809345167548	241.323489815864
FBgn0030087	57.9717453048985	58.5271804108108	55.5112443732564	47.5227723337999	50.0983446078635	56.158720731788	53.9133643988285	59.425509094991	58.2975736207912	50.7481081307096	49.4625903832225	53.9484932705367	52.0989982549766	55.6399993331242	50.6209850782541	44.494716687327	47.1862087385578	52.3880811867314	55.3291012611137	54.6572407281149	56.8536901907106	45.9388823707909	46.2094579836627	50.3719989922177
FBgn0037167	19.7772019831879	19.3848305218365	11.6665907342429	8.76445407399888	8.6244802340393	8.81569334761822	37.4603151814892	23.358573402367	13.4324915314578	11.5213994518383	7.72485300011261	10.0421485593809	34.8763331422942	15.3349426430325	11.4238558458359	14.8594279045662	14.8287716738425	18.4843039112007	59.2407625740399	36.09425838832	48.1136458524506	21.3054742196578	15.8937704824612	13.6940277587997
FBgn0033982	3.22269409801603	3.18875527250494	2.25031218410155	2.34636085671732	2.06063473447358	2.40122443745526	2.81542456407557	3.442887504862	2.37171276542397	2.2390995415085	1.86212904480154	2.31302870778919	2.83003612498111	2.44129121995159	1.98031243134351	2.20900064665701	2.25017943030838	1.90768957083351	2.79297046469032	2.64397159196336	1.93418035481208	2.19357273518953	1.79114562830852	1.80455121143423
