baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0024989	82.7033194908353	-0.561305664774194	0.10208461012852	-5.4984357002249	3.83175210917458e-08	8.04836002229695e-07
FBgn0029521	35.0304463403364	-0.412938231040545	0.134997165976893	-3.05886592546118	0.00222176558637083	0.0140000465699078
FBgn0010019	8062.08818697342	4.76352676179786	0.966036771317022	4.9309994228311	8.18099758779272e-07	1.24773240280062e-05
FBgn0040373	59.2050783366818	-0.315950031187716	0.1209081409597	-2.61314108942447	0.00897142577716893	0.0433106431924012
FBgn0040347	80.5200357085677	0.284526963121564	0.0858210037354995	3.31535347685372	0.000915273091199191	0.00655964001659965
FBgn0040364	813.197477717916	-0.160259945905477	0.0477367771357197	-3.35715889344278	0.000787478436679151	0.00575321774714943
FBgn0024361	31.6660359043246	1.84765656169677	0.309509450712232	5.96962889968305	2.37793830618515e-09	6.17232875247733e-08
FBgn0027795	118.134874801999	1.17091523995794	0.193144841424334	6.06236869347947	1.3413130222591e-09	3.69169428942461e-08
FBgn0026872	1012.78581617344	0.15928460467227	0.0575072056004163	2.76981993837512	0.00560872897128869	0.0295004975766079
FBgn0023519	481.743045775329	0.130055085638291	0.0423447107156042	3.07134193244979	0.00213098960929095	0.0134901642285451
FBgn0023510	2660.37945499575	-0.0993530103010387	0.0361581159446689	-2.74773747761288	0.00600080349076543	0.0311859445656817
FBgn0023521	190.173374381968	0.150886279914636	0.0526301384135113	2.86691778632868	0.0041449067211569	0.023202756619077
FBgn0025631	2560.94833803324	-0.131712910454901	0.0318514272264223	-4.1352278979084	3.54602553770304e-05	0.000376957076582905
FBgn0026088	828.956897108194	0.118063451840212	0.0294287698235502	4.01183782224335	6.02478847595976e-05	0.000599848482564891
FBgn0011576	949.940851670108	-0.168554470244034	0.0487801696148142	-3.45538917914801	0.000549499032434197	0.00420711569356894
FBgn0044047	2229.58011236368	0.24226749174078	0.0811574889557704	2.98515263172831	0.00283436856805281	0.0170785477663764
FBgn0023525	543.577478873599	0.128163415663756	0.0489273387066474	2.61946427195199	0.0088067997414862	0.0426880202044306
FBgn0023550	83.7241766900381	1.32264191353947	0.188718559098207	7.0085418194147	2.40814648052188e-12	1.46912273824449e-10
FBgn0023541	47.8378492025192	0.448092754089847	0.169361198390724	2.64578166869177	0.00815024018541725	0.0399912912376672
FBgn0005670	219.519489940289	0.516998579836837	0.116347176482586	4.44358509992906	8.84721391605468e-06	0.000107536313309609
FBgn0040376	152.555611219624	0.481659973476368	0.111677803502554	4.312942754693	1.61095840504425e-05	0.000184636540555281
FBgn0040066	496.330114351803	0.106547987936044	0.0406822375601841	2.61902968779483	0.00881802729549068	0.0427208221730955
FBgn0040333	30.3734986606265	0.659765324857561	0.234919165774908	2.80847806811015	0.00497762727708534	0.0268595572168582
FBgn0011606	141.075776814473	1.16453938746296	0.237074417794182	4.91212589826528	9.00941698153438e-07	1.36538284571418e-05
FBgn0024997	585.364819843805	0.45260176192201	0.0914877186782504	4.94713135774811	7.53151545136588e-07	1.15789494371079e-05
FBgn0003996	105.451377094145	4.90429295450284	0.215819000304218	22.7241018983026	2.58869097891663e-114	1.23972410980318e-110
FBgn0040384	1623.61803183487	0.10739265599424	0.0373182104417588	2.87775471339505	0.00400516426738915	0.02253905014868
FBgn0024995	297.363609455094	0.232693845708545	0.0874343468058302	2.6613551105414	0.00778268282282415	0.0385431934214114
FBgn0024994	361.484871431597	0.205834760205508	0.044709638747727	4.60381175001045	4.14827462786137e-06	5.39839325892068e-05
